iter	Passed	Remaining
0	5	503
1	9	445
2	13	425
3	16	392
4	20	387
5	22	345
6	23	313
7	25	290
8	26	270
9	28	254
10	29	242
11	31	232
12	33	222
13	34	214
14	36	206
15	38	199
16	39	193
17	41	187
18	42	182
19	44	177
20	45	172
21	47	169
22	49	165
23	50	161
24	52	157
25	54	154
26	55	150
27	57	147
28	58	143
29	60	140
30	62	138
31	63	135
32	65	132
33	66	129
34	68	127
35	70	124
36	71	121
37	73	119
38	74	116
39	76	114
40	77	111
41	78	108
42	80	106
43	81	103
44	83	101
45	84	99
46	86	97
47	87	95
48	89	93
49	91	91
50	92	89
51	94	87
52	95	85
53	97	82
54	98	80
55	99	78
56	101	76
57	103	74
58	104	72
59	106	70
60	107	68
61	109	66
62	110	65
63	112	63
64	113	61
65	115	59
66	116	57
67	118	55
68	120	53
69	121	52
70	123	50
71	124	48
72	126	46
73	128	45
74	130	43
75	131	41
76	133	39
77	135	38
78	136	36
79	138	34
80	139	32
81	141	31
82	143	29
83	144	27
84	146	25
85	147	24
86	149	22
87	150	20
88	152	18
89	154	17
90	155	15
91	157	13
92	158	11
93	160	10
94	161	8
95	163	6
96	164	5
97	166	3
98	167	1
99	169	0
